Nombre,N1,N2,N3,N4,Total,Puntaje
LordKanino19,3,4,0,0,7,19
Vainilla,0,2,0,0,2,8
R P D,0,0,0,0,0,0
Jocs4,0,2,0,0,2,8
Juan D98,2,2,2,0,6,42
61JC,2,1,0,0,3,6
Arkeus11,8,0,0,0,8,8
Dark Falkor,1,0,0,0,1,1
deathiro,0,2,0,0,2,8
Duque Puf,3,0,0,0,3,3
Conde Puf,0,0,0,0,0,0
Marques Puf,0,0,0,0,0,0
El Templari0,7,0,0,0,7,7
FoodFarmer12,0,0,0,0,0,0
HaRaKirY,0,0,0,0,0,0
hirowiro,0,0,0,0,0,0
HusKerss,0,1,0,0,1,4
Joselito170,3,0,0,0,3,3
L O N E Y 5,0,0,0,0,0,0
MoRRiGaNC,0,0,0,0,0,0
Nathy7,6,0,0,0,6,6
Rpd2,3,2,1,0,6,27
srce1,3,0,0,0,3,3
theriver2007,9,1,0,0,10,13
Vil Mentira,7,4,0,0,11,23
wirito,0,0,0,0,0,0
001padre,0,0,0,0,0,0
el poro 123,5,0,0,0,5,5
KingAlexx27,0,0,0,0,0,0
Leandro2505,0,0,0,0,0,0
leito ortiz,2,2,0,0,4,10
leonardo02,1,0,0,0,1,1
melonidas 1,7,0,0,0,7,7
MiguelDH,1,0,0,0,1,1
WOLFBYCK9812,1,0,0,0,1,1
001padre2,1,0,0,0,1,1
ADADI,2,0,0,0,2,2
adolfo22,1,0,0,0,1,1
Anabell 21,6,0,0,0,6,6
auxiliar 1,2,0,0,0,2,2
Eraclium,0,2,0,0,2,8
Freya2111,0,0,0,0,0,0
GadrielS,1,0,0,0,1,1
GalaicusGZ,0,0,0,0,0,0
Goku 32,1,0,0,0,1,1
Hogan bob,3,0,0,0,3,3
Imp0st0r 882,4,1,1,0,6,24
jos88,0,0,0,0,0,0
jungle 01,2,0,0,0,2,2
Jvillafuerte,0,0,0,0,0,0
kim jennie06,0,0,0,0,0,0
LOBO SERVERO,0,1,0,0,1,4
lord dan49,0,0,0,0,0,0
LordSerged,2,0,0,0,2,2
MarisolXD123,0,0,0,0,0,0
MaRk 25,0,0,0,0,0,0
Mmark,0,0,0,0,0,0
Roohtakr,0,0,0,0,0,0
SoloGozalo,0,0,0,0,0,0
vaspin,8,1,0,0,9,12
